Status,State,Stage,Sequence Type,Sequence State,Sequence Stage,Sequence Step,Lost Reasons,Lead Source
New,Open,Marketing Consent,Email,Not Activated,Email,None,N/A,Import
Working,Lost,Demo Booking,Call,Running,Call,1,Invalid / Bad Data,Employee Referral
Closed,,Demo Confirmation,Manual,Stopped,Meeting,2,No Fit,External Referral
,,Demo Hosted,,Complete,Task,3,No Response,Trade Show
,,Proposal Preparation,,,,4,No Meeting / Demo,Facebook
,,Commercial Agreement,,,,5,No Commercial Interest,X (Twitter)
,,Onboarding,,,,6,No Budget,Linkedin
,,Renewal,,,,7,No Authority,Apollo
,,,,,,8,Terms Rejected,Clay
,,,,,,9,Churned / Did Not Renew,
,,,,,,10,Duplicate / Test Record,